mito,geno,sex,chromo,day,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err
Zim,9061,f,Cy,7,1,Zim_9061_f_Cy_7__1,37,87,3.1417,-6.1412,0.9939,0,0.0264
Zim,9061,f,Cy,7,1,Zim_9061_f_Cy_7__2,42,92,2.8813,16.3247,0.979,0,0.0456
Zim,9061,f,Cy,7,1,Zim_9061_f_Cy_7__3,81,131,3.2697,3.29,0.9927,0,0.0302
Zim,9061,f,Cy,7,1,Zim_9061_f_Cy_7__4,91,141,2.0005,21.9927,0.9924,0,0.0189
Zim,9061,f,Cy,7,1,Zim_9061_f_Cy_7__5,49,99,3.2956,-7.0428,0.9924,0,0.0311
Zim,9061,f,Cy,7,1,Zim_9061_f_Cy_7__6,34,84,2.933,7.5577,0.9867,0,0.0367
Zim,9061,f,Cy,7,1,Zim_9061_f_Cy_7__all,43,93,2.8614,6.5725,0.9958,0,0.0199
Zim,9061,f,Cy,7,2,Zim_9061_f_Cy_7__1,69,119,2.8565,5.8078,0.994,0,0.0239
Zim,9061,f,Cy,7,2,Zim_9061_f_Cy_7__2,29,79,2.4487,15.8303,0.9942,0,0.0201
Zim,9061,f,Cy,7,2,Zim_9061_f_Cy_7__3,50,100,3.8737,-1.2309,0.9975,0,0.0209
Zim,9061,f,Cy,7,2,Zim_9061_f_Cy_7__4,80,130,3.5237,-26.0691,0.986,0,0.0453
Zim,9061,f,Cy,7,2,Zim_9061_f_Cy_7__5,21,71,2.8108,21.5586,0.9859,0,0.0362
Zim,9061,f,Cy,7,2,Zim_9061_f_Cy_7__6,8,58,3.0648,32.1213,0.9857,0,0.0398
Zim,9061,f,Cy,7,2,Zim_9061_f_Cy_7__all,30,80,2.8354,19.0995,0.998,0,0.0135
Zim,9061,f,Cy,7,3,Zim_9061_f_Cy_7__1,23,73,2.8179,14.3842,0.9939,0,0.0237
Zim,9061,f,Cy,7,3,Zim_9061_f_Cy_7__2,54,104,3.2351,3.1218,0.9899,0,0.0352
Zim,9061,f,Cy,7,3,Zim_9061_f_Cy_7__3,92,142,3.6308,-12.7491,0.9929,0,0.0335
Zim,9061,f,Cy,7,3,Zim_9061_f_Cy_7__4,21,71,2.698,22.0197,0.9938,0,0.023
Zim,9061,f,Cy,7,3,Zim_9061_f_Cy_7__5,24,74,3.5861,8.7058,0.9935,0,0.0312
Zim,9061,f,Cy,7,3,Zim_9061_f_Cy_7__6,45,95,3.0381,11.3765,0.9811,0,0.0455
Zim,9061,f,Cy,7,3,Zim_9061_f_Cy_7__all,74,124,2.7059,31.1475,0.9977,0,0.0139
Zim,9061,f,Df,7,1,Zim_9061_f_Df_7__1,47,97,3.3558,-15.7241,0.9923,0,0.0319
Zim,9061,f,Df,7,1,Zim_9061_f_Df_7__2,88,138,3.6496,16.0217,0.9951,0,0.0276
Zim,9061,f,Df,7,1,Zim_9061_f_Df_7__3,36,86,2.8954,-0.6725,0.9926,0,0.027
Zim,9061,f,Df,7,1,Zim_9061_f_Df_7__4,57,107,4.1657,-7.4674,0.9932,0,0.0372
Zim,9061,f,Df,7,1,Zim_9061_f_Df_7__5,34,84,3.5534,-12.318,0.9931,0,0.0318
Zim,9061,f,Df,7,1,Zim_9061_f_Df_7__6,49,99,2.5374,38.4408,0.9875,0,0.0307
Zim,9061,f,Df,7,1,Zim_9061_f_Df_7__all,61,111,3.2135,8.0426,0.9982,0,0.0147
Zim,9061,f,Df,7,2,Zim_9061_f_Df_7__1,49,99,3.5707,1.5493,0.9952,0,0.0266
Zim,9061,f,Df,7,2,Zim_9061_f_Df_7__2,3,53,2.5795,41.2328,0.9921,0,0.0248
Zim,9061,f,Df,7,2,Zim_9061_f_Df_7__3,50,100,3.6664,-3.3621,0.9943,0,0.03
Zim,9061,f,Df,7,2,Zim_9061_f_Df_7__4,54,104,4.8077,-13.6711,0.9988,0,0.0181
Zim,9061,f,Df,7,2,Zim_9061_f_Df_7__5,56,106,3.8907,-6.9392,0.9943,0,0.0317
Zim,9061,f,Df,7,2,Zim_9061_f_Df_7__6,49,99,3.584,-2.0854,0.9942,0,0.0294
Zim,9061,f,Df,7,2,Zim_9061_f_Df_7__all,49,99,3.904,-2.9877,0.9988,0,0.0145
Zim,9061,f,Df,7,3,Zim_9061_f_Df_7__1,91,141,2.9339,30.7192,0.9952,0,0.022
Zim,9061,f,Df,7,3,Zim_9061_f_Df_7__2,1,51,2.5955,40.3151,0.9903,0,0.0276
Zim,9061,f,Df,7,3,Zim_9061_f_Df_7__3,68,118,3.2214,21.4584,0.9921,0,0.0309
Zim,9061,f,Df,7,3,Zim_9061_f_Df_7__4,49,99,4.2104,-12.5324,0.9975,0,0.0228
Zim,9061,f,Df,7,3,Zim_9061_f_Df_7__5,23,73,3.4094,20.2216,0.9849,0,0.0455
Zim,9061,f,Df,7,3,Zim_9061_f_Df_7__6,40,90,4.5987,-28.2647,0.9928,0,0.0422
Zim,9061,f,Df,7,3,Zim_9061_f_Df_7__all,47,97,3.7837,1.7206,0.9979,0,0.0188
Zim,9061,m,Cy,7,1,Zim_9061_m_Cy_7__1,30,80,1.645,18.0414,0.9867,0,0.0206
Zim,9061,m,Cy,7,1,Zim_9061_m_Cy_7__2,21,71,2.011,41.2671,0.9864,0,0.0255
Zim,9061,m,Cy,7,1,Zim_9061_m_Cy_7__3,18,68,2.2795,30.5517,0.9684,0,0.0446
Zim,9061,m,Cy,7,1,Zim_9061_m_Cy_7__4,24,74,1.9915,42.6663,0.954,0,0.0475
Zim,9061,m,Cy,7,1,Zim_9061_m_Cy_7__5,36,86,1.501,59.8937,0.9791,0,0.0237
Zim,9061,m,Cy,7,1,Zim_9061_m_Cy_7__6,46,96,2.2411,26.5571,0.9831,0,0.0317
Zim,9061,m,Cy,7,1,Zim_9061_m_Cy_7__all,30,80,1.8358,39.656,0.997,0,0.0108
Zim,9061,m,Cy,7,2,Zim_9061_m_Cy_7__1,59,109,1.4241,44.3698,0.9661,0,0.0289
Zim,9061,m,Cy,7,2,Zim_9061_m_Cy_7__2,20,70,3.3861,31.1555,0.9867,0,0.0424
Zim,9061,m,Cy,7,2,Zim_9061_m_Cy_7__3,33,83,2.5841,2.1265,0.9827,0,0.037
Zim,9061,m,Cy,7,2,Zim_9061_m_Cy_7__4,13,63,1.981,30.8768,0.9536,0,0.0475
Zim,9061,m,Cy,7,2,Zim_9061_m_Cy_7__5,20,70,2.6937,28.6032,0.9896,0,0.0297
Zim,9061,m,Cy,7,2,Zim_9061_m_Cy_7__6,31,81,2.9535,30.292,0.9792,0,0.0465
Zim,9061,m,Cy,7,2,Zim_9061_m_Cy_7__all,33,83,2.456,29.598,0.9962,0,0.0163
Zim,9061,m,Cy,7,3,Zim_9061_m_Cy_7__1,61,111,1.9264,28.537,0.9747,0,0.0335
Zim,9061,m,Cy,7,3,Zim_9061_m_Cy_7__2,13,63,2.6747,33.9782,0.9704,0,0.0506
Zim,9061,m,Cy,7,3,Zim_9061_m_Cy_7__3,60,110,2.3355,31.1153,0.9658,0,0.0476
Zim,9061,m,Cy,7,3,Zim_9061_m_Cy_7__4,30,80,2.3733,14.6745,0.9825,0,0.0342
Zim,9061,m,Cy,7,3,Zim_9061_m_Cy_7__5,57,107,2.9131,8.4029,0.9878,0,0.035
Zim,9061,m,Cy,7,3,Zim_9061_m_Cy_7__6,54,104,2.8546,-0.6612,0.995,0,0.0218
Zim,9061,m,Cy,7,3,Zim_9061_m_Cy_7__all,58,108,2.3823,23.998,0.996,0,0.0163
Zim,9061,m,Df,7,1,Zim_9061_m_Df_7__1,56,106,3.7318,21.4767,0.994,0,0.0313
Zim,9061,m,Df,7,1,Zim_9061_m_Df_7__2,24,74,4.1896,17.4831,0.9918,0,0.0411
Zim,9061,m,Df,7,1,Zim_9061_m_Df_7__3,20,70,2.3675,74.7353,0.9527,0,0.0574
Zim,9061,m,Df,7,1,Zim_9061_m_Df_7__4,18,68,3.2537,57.5759,0.953,0,0.0786
Zim,9061,m,Df,7,1,Zim_9061_m_Df_7__5,27,77,3.606,5.8174,0.9919,0,0.0352
Zim,9061,m,Df,7,1,Zim_9061_m_Df_7__6,4,54,3.2729,48.6169,0.9887,0,0.0377
Zim,9061,m,Df,7,1,Zim_9061_m_Df_7__all,26,76,3.5485,34.4124,0.9937,0,0.0305
Zim,9061,m,Df,7,2,Zim_9061_m_Df_7__1,22,72,3.1435,38.9722,0.9886,0,0.0365
Zim,9061,m,Df,7,2,Zim_9061_m_Df_7__2,28,78,3.2048,19.7432,0.9918,0,0.0314
Zim,9061,m,Df,7,2,Zim_9061_m_Df_7__3,15,65,2.951,27.7617,0.9899,0,0.0321
Zim,9061,m,Df,7,2,Zim_9061_m_Df_7__4,73,123,4.1319,-0.6928,0.9841,0,0.0566
Zim,9061,m,Df,7,2,Zim_9061_m_Df_7__5,24,74,4.2012,6.8548,0.9903,0,0.0448
Zim,9061,m,Df,7,2,Zim_9061_m_Df_7__6,43,93,4.3561,-21.6684,0.995,0,0.0333
Zim,9061,m,Df,7,2,Zim_9061_m_Df_7__all,36,86,3.651,11.8355,0.997,0,0.0214
Zim,9061,m,Df,7,3,Zim_9061_m_Df_7__1,30,80,3.4231,13.8856,0.9939,0,0.029
Zim,9061,m,Df,7,3,Zim_9061_m_Df_7__2,24,74,2.8405,37.4885,0.9907,0,0.0296
Zim,9061,m,Df,7,3,Zim_9061_m_Df_7__3,2,52,2.0257,66.9652,0.963,0,0.0431
Zim,9061,m,Df,7,3,Zim_9061_m_Df_7__4,47,97,5.3008,-10.0152,0.9916,0,0.0526
Zim,9061,m,Df,7,3,Zim_9061_m_Df_7__5,27,77,3.7767,11.843,0.9913,0,0.0381
Zim,9061,m,Df,7,3,Zim_9061_m_Df_7__6,31,81,3.2206,12.6493,0.993,0,0.029
Zim,9061,m,Df,7,3,Zim_9061_m_Df_7__all,38,88,3.3453,24.3513,0.9979,0,0.0163
Zim,w1118,f,Cy,7,1,Zim_w1118_f_Cy_7__1,33,83,3.2958,-1.8027,0.993,0,0.0297
