mito,geno,sex,day,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err
w1118,1491,f,10,1,w1118_1491_f_10__6,32,82,1.2925,41.4795,0.9348,0,0.0702
w1118,1491,f,10,1,w1118_1491_f_10__all,12,62,1.2842,75.0093,0.9921,0,0.0232
w1118,1491,f,10,2,w1118_1491_f_10__1,51,101,2.5684,-49.359,0.9774,0,0.0793
w1118,1491,f,10,2,w1118_1491_f_10__2,92,142,1.9489,-51.8586,0.9521,0,0.0894
w1118,1491,f,10,2,w1118_1491_f_10__3,0,50,1.1457,51.7511,0.9582,0,0.0489
w1118,1491,f,10,2,w1118_1491_f_10__4,29,79,1.5517,10.6412,0.9765,0,0.0489
w1118,1491,f,10,2,w1118_1491_f_10__5,55,105,2.1974,-27.3753,0.9824,0,0.0596
w1118,1491,f,10,2,w1118_1491_f_10__6,48,98,1.2025,6.8761,0.9465,0,0.0586
w1118,1491,f,10,2,w1118_1491_f_10__all,9,59,0.8756,43.0021,0.9924,0,0.0155
w1118,1491,f,10,3,w1118_1491_f_10__1,56,106,1.9256,-24.3641,0.9685,0,0.0708
w1118,1491,f,10,3,w1118_1491_f_10__2,8,58,0.8936,41.4907,0.9635,0,0.0355
w1118,1491,f,10,3,w1118_1491_f_10__3,11,61,2.2096,24.2307,0.9803,0,0.0635
w1118,1491,f,10,3,w1118_1491_f_10__4,41,91,1.108,38.7524,0.9549,0,0.0492
w1118,1491,f,10,3,w1118_1491_f_10__5,13,63,1.5381,15.4904,0.9635,0,0.0611
w1118,1491,f,10,3,w1118_1491_f_10__6,59,109,2.1843,-33.2766,0.9736,0,0.0732
w1118,1491,f,10,3,w1118_1491_f_10__all,32,82,1.114,41.2554,0.9918,0,0.0205
w1118,1491,f,10,4,w1118_1491_f_10__1,59,109,0.3772,22.739,0.7882,0,0.0471
w1118,1491,f,10,4,w1118_1491_f_10__2,59,109,0.2573,35.2448,0.8058,0,0.0324
w1118,1491,f,10,4,w1118_1491_f_10__3,0,50,0,18.7311,0.759,0.1368,0.4054
w1118,1491,f,10,4,w1118_1491_f_10__4,73,123,0.1898,38.6856,0.6877,0.0016,0.0501
w1118,1491,f,10,4,w1118_1491_f_10__5,89,139,1.1641,-56.4892,0.9946,0.0054,0.0858
w1118,1491,f,10,4,w1118_1491_f_10__6,76,126,0,26.7689,0.5416,0.0853,0.1219
