fly,X,Y,mito,nuc,sex
7,218,0.841628959,yak,4959,m
8,450,0.669683258,yak,4959,m
9,373,0.810859729,yak,4959,m
10,238,0.358371041,yak,4959,m
11,383,0.550226244,yak,4959,m
12,316,0.980995475,yak,4959,m
13,460,0.778280543,yak,4959,m
14,437,0.63800905,yak,4959,m
15,350,0.840723982,yak,4959,m
16,326,0.962895928,yak,4959,m
17,301,0.824434389,yak,4959,m
18,458,0.933936652,yak,4959,m
19,137,0.297737557,yak,4959,m
20,311,0.377375566,yak,4959,m
21,400,0.760180995,yak,4959,m
22,453,0.833484163,yak,4959,m
23,342,0.890497738,yak,4959,m
24,403,0.942986425,yak,4959,m
25,433,0.754751131,yak,4959,m
26,97,0.952941176,yak,4959,m
27,203,0.980090498,yak,4959,m
28,180,0.322171946,yak,4959,m
29,284,0.776470588,yak,4959,m
30,300,0.829864253,yak,4959,m
31,396,0.836199095,yak,4959,m
32,413,0.8760181,yak,4959,m
33,369,0.955656109,yak,4959,m
34,442,0.788235294,yak,4959,m
35,168,0.846153846,yak,4959,m
36,457,0.868778281,yak,4959,m
37,230,0.955656109,yak,4959,m
38,268,0.831674208,yak,4959,m
39,315,0.841628959,yak,4959,m
40,428,0.846153846,yak,4959,m
41,451,0.861538462,yak,4959,m
42,280,0.827149321,yak,4959,m
43,143,0.870588235,yak,4959,m
44,428,0.895927602,yak,4959,m
45,414,-0.069683258,yak,4959,m
46,365,0.902262443,yak,4959,m
47,395,0.923076923,yak,4959,m
48,188,0.957466063,yak,4959,m
49,116,0.986425339,yak,4959,m
50,61,0.780995475,yak,4959,m
51,394,0.806334842,yak,4959,m
52,339,0.814479638,yak,4959,m
53,219,0.819004525,yak,4959,m
54,237,0.819909502,yak,4959,m
55,446,0.835294118,yak,4959,m
56,245,0.87239819,yak,4959,m
57,244,0.895927602,yak,4959,m
58,221,0.932126697,yak,4959,m
59,339,0.990045249,yak,4959,m
60,230,0.786425339,yak,4959,m
61,100,0.865158371,yak,4959,m
62,455,0.881447964,yak,4959,m
63,87,0.857918552,yak,4959,m
64,148,0.681447964,yak,4959,m
65,93,0.797285068,yak,4959,m
66,120,0.801809955,yak,4959,m
67,145,0.804524887,yak,4959,m
68,282,0.83800905,yak,4959,m
69,296,0.866968326,yak,4959,m
70,345,0.909502262,yak,4959,m
71,431,0.914932127,yak,4959,m
72,326,0.683257919,yak,4959,m
73,172,0.752036199,yak,4959,m
74,306,0.839819005,yak,4959,m
75,115,0.88959276,yak,4959,m
76,291,0.931221719,yak,4959,m
77,265,0.500452489,yak,4959,m
78,199,0.752036199,yak,4959,m
79,69,0.883257919,yak,4959,m
80,142,0.891402715,yak,4959,m
81,96,0.941176471,yak,4959,m
82,127,0.945701357,yak,4959,m
83,326,0.951131222,yak,4959,m
84,364,0.523076923,yak,4959,m
85,172,0.83800905,yak,4959,m
86,305,0.897737557,yak,4959,m
87,130,0.925791855,yak,4959,m
88,269,0.949321267,yak,4959,m
89,267,0.754751131,yak,4959,m
90,383,0.8,yak,4959,m
91,258,0.947511312,yak,4959,m
92,468,-0.05158371,yak,4959,m
93,286,0.799095023,yak,4959,m
94,111,0.842533937,yak,4959,m
95,91,0.890497738,yak,4959,m
96,348,0.973755656,yak,4959,m
97,282,0.767420814,yak,4959,m
98,160,0.828054299,yak,4959,m
99,211,0.756561086,yak,4959,m
100,112,0.790045249,yak,4959,m
101,275,0.813574661,yak,4959,m
102,118,0.862443439,yak,4959,m
103,108,0.88959276,yak,4959,m
104,211,0.695927602,yak,4959,m
105,75,0.849773756,yak,4959,m
106,89,0.764705882,yak,4959,m
107,311,0.819004525,yak,4959,m
108,155,0.943891403,yak,4959,m
109,214,0.96561086,yak,4959,m
110,349,0.849773756,yak,4959,m
111,195,0.908597285,yak,4959,m
112,148,0.668778281,yak,4959,m
113,37,0.995475113,yak,4959,m
114,188,0.923076923,yak,4959,m
115,126,0.916742081,yak,4959,m
116,452,0.991855204,yak,4959,m
0,467,-0.069683258,w1118,7837,f
1,431,0.428054299,w1118,7837,f
2,218,0.038914027,w1118,7837,f
3,263,0.061538462,w1118,7837,f
4,340,0.726696833,w1118,7837,f
5,427,0.525791855,w1118,7837,f
6,250,0.340271493,w1118,7837,f
7,167,0.276923077,w1118,7837,f
8,379,0.613574661,w1118,7837,f
9,26,-0.064253394,w1118,7837,f
10,147,0.62081448,w1118,7837,f
11,267,0.471493213,w1118,7837,f
12,277,0.59638009,w1118,7837,f
13,46,0.995475113,w1118,7837,f
14,397,0.995475113,w1118,7837,f
0,463,-0.070588235,yak,1491,f
1,257,0.895022624,yak,1491,f
2,358,0.876923077,yak,1491,f
3,183,-0.052488688,yak,1491,f
4,208,0.992760181,yak,1491,f
5,419,0.334841629,yak,1491,f
6,477,0.687782805,yak,1491,f
7,210,0.842533937,yak,1491,f
8,442,0.76561086,yak,1491,f
9,346,0.82081448,yak,1491,f
10,458,0.890497738,yak,1491,f
11,439,0.874208145,yak,1491,f
12,435,0.878733032,yak,1491,f
13,458,0.89321267,yak,1491,f
14,153,0.326696833,yak,1491,f
15,345,0.786425339,yak,1491,f
16,384,0.850678733,yak,1491,f
17,250,0.898642534,yak,1491,f
18,370,0.97918552,yak,1491,f
19,252,0.992760181,yak,1491,f
20,456,0.769230769,yak,1491,f
21,208,0.83438914,yak,1491,f
22,263,0.898642534,yak,1491,f
23,455,0.810859729,yak,1491,f
24,252,0.952036199,yak,1491,f
25,249,0.96561086,yak,1491,f
26,237,0.437104072,yak,1491,f
27,419,0.702262443,yak,1491,f
28,472,0.879638009,yak,1491,f
29,142,0.980090498,yak,1491,f
30,108,0.789140271,yak,1491,f
31,310,0.815384615,yak,1491,f
32,371,0.822624434,yak,1491,f
33,287,0.824434389,yak,1491,f
34,428,0.870588235,yak,1491,f
35,456,0.886877828,yak,1491,f
36,36,0.959276018,yak,1491,f
37,197,0.485067873,yak,1491,f
38,168,0.495022624,yak,1491,f
39,386,0.857013575,yak,1491,f
40,416,0.928506787,yak,1491,f
41,390,0.676923077,yak,1491,f
42,254,0.68959276,yak,1491,f
43,362,0.882352941,yak,1491,f
44,241,0.915837104,yak,1491,f
45,348,0.920361991,yak,1491,f
46,369,0.942986425,yak,1491,f
47,259,0.268778281,yak,1491,f
48,321,0.723076923,yak,1491,f
49,275,0.790045249,yak,1491,f
50,452,0.798190045,yak,1491,f
51,238,0.819909502,yak,1491,f
52,375,0.847963801,yak,1491,f
53,435,0.899547511,yak,1491,f
54,342,0.76199095,yak,1491,f
55,448,0.818099548,yak,1491,f
56,349,0.862443439,yak,1491,f
57,170,0.884162896,yak,1491,f
58,231,0.273303167,yak,1491,f
59,190,0.487782805,yak,1491,f
60,422,0.831674208,yak,1491,f
61,250,0.859728507,yak,1491,f
62,259,0.946606335,yak,1491,f
63,259,0.080542986,yak,1491,f
64,189,0.557466063,yak,1491,f
65,322,0.837104072,yak,1491,f
66,433,0.852488688,yak,1491,f
67,433,0.883257919,yak,1491,f
68,437,0.938461538,yak,1491,f
69,326,0.509502262,yak,1491,f
70,111,0.690497738,yak,1491,f
71,177,0.762895928,yak,1491,f
72,297,0.790950226,yak,1491,f
73,280,0.810859729,yak,1491,f
74,427,0.816289593,yak,1491,f
75,252,0.829864253,yak,1491,f
76,272,0.892307692,yak,1491,f
77,158,0.905882353,yak,1491,f
